timestamp_out_reset,readout_counter,current_timestamp_out,timestamp, target_tb_in_1, target_tb_in_2, target_tb_in_3, target_tb_in_4, target_tb_in_5, target_tb_in_6, target_tb_in_7, target_tb_in_8, target_tb_in_9,read_out,busa_clr_in
globals_clk,globals_rst,globals_reg_address,globals_reg_value,target_tb_in_1,target_tb_in_2,target_tb_in_3,target_tb_in_4,target_tb_in_5,target_tb_in_6,target_tb_in_7,target_tb_in_8,target_tb_in_9,read_out,busa_clr_in
0,1,33,0,0,0,0,2,0,31,31,22,0,0,0
0,1,33,0,0,0,0,2,0,31,31,22,0,0,0
0,1,33,0,0,0,0,2,0,31,31,22,0,0,0
0,1,33,0,0,0,0,2,0,31,31,22,0,0,0
0,1,33,0,0,0,0,0,0,31,31,22,0,0,0
0,1,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,11,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,4660,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
33,0,33,0,0,0,0,2,0,31,31,22,0,0,0
